"MP NAME";"WORK";"CATEGORY";"STATE";"CONSTITUENCY";"IDA";"CITY";"WARD";"BLOCK";"VILLAGE";"RECOMMENDED DATE";"ALLOCATION AMOUNT";"IDA APPROVAL";"STATUS";"HOUSE"
"Manoj Rajoria";"NA - Installing community drinking water plants";"Normal/Others";"Rajasthan";"KARAULI-DHOLPUR(SC)";"DISTRICT COLLECTOR DHOLPUR_IDA";"";"";"Rajakhera";"Nadauli";"2024-03-04";"100000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Mr Gopal Jee Thakur";"NA - Street lights";"Normal/Others";"Bihar";"DARBHANGA";"DISTRICT MAGISTRATE DARBANGA_IDA";"";"";"Manigachhi";"Jagdishpur";"2024-03-04";"487000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Manoj Rajoria";"NA - Construction of roads, link roads, pathways or any other road with or without drainage system";"Normal/Others";"Rajasthan";"KARAULI-DHOLPUR(SC)";"DISTRICT COLLECTOR DHOLPUR_IDA";"";"";"Sepau";"Kaithri";"2024-03-04";"500000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Mr Gopal Jee Thakur";"NA - Street lights";"Normal/Others";"Bihar";"DARBHANGA";"DISTRICT MAGISTRATE DARBANGA_IDA";"";"";"Manigachhi";"Chandaur";"2024-03-04";"487000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Mr Gopal Jee Thakur";"NA - Street lights";"Normal/Others";"Bihar";"DARBHANGA";"DISTRICT MAGISTRATE DARBANGA_IDA";"";"";"Manigachhi";"Kotma";"2024-03-04";"487000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Mr Gopal Jee Thakur";"NA - Street lights";"Normal/Others";"Bihar";"DARBHANGA";"DISTRICT MAGISTRATE DARBANGA_IDA";"";"";"Manigachhi";"Lehara";"2024-03-04";"487000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Mr Gopal Jee Thakur";"NA - Street lights";"Normal/Others";"Bihar";"DARBHANGA";"DISTRICT MAGISTRATE DARBANGA_IDA";"";"";"Manigachhi";"Belaur";"2024-03-04";"487000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Mr Gopal Jee Thakur";"NA - Street lights";"Normal/Others";"Bihar";"DARBHANGA";"DISTRICT MAGISTRATE DARBANGA_IDA";"";"";"Manigachhi";"Raghopur";"2024-03-04";"487000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Mr Gopal Jee Thakur";"NA - Street lights";"Normal/Others";"Bihar";"DARBHANGA";"DISTRICT MAGISTRATE DARBANGA_IDA";"";"";"Manigachhi";"Raghopur";"2024-03-04";"487000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Mr Gopal Jee Thakur";"NA - Street lights";"Normal/Others";"Bihar";"DARBHANGA";"DISTRICT MAGISTRATE DARBANGA_IDA";"";"";"Manigachhi";"Barhampura";"2024-03-04";"487000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Mr Gopal Jee Thakur";"NA - Street lights";"Normal/Others";"Bihar";"DARBHANGA";"DISTRICT MAGISTRATE DARBANGA_IDA";"";"";"Manigachhi";"Tatuar";"2024-03-04";"487000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Mr Gopal Jee Thakur";"NA - Street lights";"Normal/Others";"Bihar";"DARBHANGA";"DISTRICT MAGISTRATE DARBANGA_IDA";"";"";"Manigachhi";"Raghopur";"2024-03-04";"487000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Mr Gopal Jee Thakur";"NA - Street lights";"Normal/Others";"Bihar";"DARBHANGA";"DISTRICT MAGISTRATE DARBANGA_IDA";"";"";"Tardih";"Kokraha";"2024-03-04";"487000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Mr Gopal Jee Thakur";"NA - Street lights";"Normal/Others";"Bihar";"DARBHANGA";"DISTRICT MAGISTRATE DARBANGA_IDA";"";"";"Darbhanga";"Siso";"2024-03-04";"487000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Mr Gopal Jee Thakur";"NA - Street lights";"Normal/Others";"Bihar";"DARBHANGA";"DISTRICT MAGISTRATE DARBANGA_IDA";"";"";"Darbhanga";"Sara Mahamad";"2024-03-04";"487000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Mr Gopal Jee Thakur";"NA - Street lights";"Normal/Others";"Bihar";"DARBHANGA";"DISTRICT MAGISTRATE DARBANGA_IDA";"";"";"Darbhanga";"Basdeopur";"2024-03-04";"487000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Mr Gopal Jee Thakur";"NA - Street lights";"Normal/Others";"Bihar";"DARBHANGA";"DISTRICT MAGISTRATE DARBANGA_IDA";"";"";"Darbhanga";"Shahbazpur";"2024-03-04";"487000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Mr Gopal Jee Thakur";"NA - Street lights";"Normal/Others";"Bihar";"DARBHANGA";"DISTRICT MAGISTRATE DARBANGA_IDA";"";"";"Darbhanga";"Khutwara";"2024-03-04";"487000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Pradyut Bordoloi";"NA - Setting up public non-conventional energy plants";"Normal/Others";"Assam";"NOWGONG";"DEPUTY COMMISSIONER NOWGONG_IDA";"";"";"Nagaon";"Town Nagaon";"2024-03-04";"500000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Pradyut Bordoloi";"NA - Construction of boundary walls of existing public and community buildings";"Normal/Others";"Assam";"NOWGONG";"DEPUTY COMMISSIONER NOWGONG_IDA";"";"";"Nagaon";"Majarati";"2024-03-04";"300000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Pradyut Bordoloi";"NA - Construction of community centers and community halls";"Normal/Others";"Assam";"NOWGONG";"DEPUTY COMMISSIONER NOWGONG_IDA";"";"";"Nagaon";"Town Nagaon";"2024-03-04";"500000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Pradyut Bordoloi";"NA - Construction of boundary walls of existing public and community buildings";"Normal/Others";"Assam";"NOWGONG";"DEPUTY COMMISSIONER NOWGONG_IDA";"";"";"Nagaon";"Barbheti";"2024-03-04";"300000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Manoj Rajoria";"NA - Installing community drinking water plants";"Normal/Others";"Rajasthan";"KARAULI-DHOLPUR(SC)";"DISTRICT COLLECTOR DHOLPUR_IDA";"";"";"Sepau";"Kookara";"2024-03-04";"600000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Mr Gopal Jee Thakur";"NA - Street lights";"Normal/Others";"Bihar";"DARBHANGA";"DISTRICT MAGISTRATE DARBANGA_IDA";"";"";"Manigachhi";"Raghopur";"2024-03-04";"487000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Manoj Rajoria";"NA - Installing community drinking water plants";"Normal/Others";"Rajasthan";"KARAULI-DHOLPUR(SC)";"DISTRICT COLLECTOR DHOLPUR_IDA";"";"";"Sepau";"Sepau 2";"2024-03-04";"100000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Manoj Rajoria";"NA - Installing community drinking water plants";"Normal/Others";"Rajasthan";"KARAULI-DHOLPUR(SC)";"DISTRICT COLLECTOR DHOLPUR_IDA";"";"";"Bari";"Norha";"2024-03-04";"600000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Manoj Rajoria";"NA - Construction of roads, link roads, pathways or any other road with or without drainage system";"Normal/Others";"Rajasthan";"KARAULI-DHOLPUR(SC)";"DISTRICT COLLECTOR DHOLPUR_IDA";"";"";"Rajakhera";"Rahsena";"2024-03-04";"1000000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Mr Gopal Jee Thakur";"NA - Construction of roads, link roads, pathways or any other road with or without drainage system";"Normal/Others";"Bihar";"DARBHANGA";"DISTRICT MAGISTRATE DARBANGA_IDA";"";"";"DARBHANGA";"Dularpur";"2024-03-04";"499000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Manoj Rajoria";"NA - Installing community drinking water plants";"Normal/Others";"Rajasthan";"KARAULI-DHOLPUR(SC)";"DISTRICT COLLECTOR DHOLPUR_IDA";"Dhaulpur";"Dhaulpur (M) - Ward No.10";"";"";"2024-03-04";"150000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Mr Gopal Jee Thakur";"NA - Street lights";"Normal/Others";"Bihar";"DARBHANGA";"DISTRICT MAGISTRATE DARBANGA_IDA";"Benipur";"Benipur (M) - Ward No. 07";"";"";"2024-03-04";"487000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Mr Gopal Jee Thakur";"NA - Street lights";"Normal/Others";"Bihar";"DARBHANGA";"DISTRICT MAGISTRATE DARBANGA_IDA";"Benipur";"Benipur (M) - Ward No. 29";"";"";"2024-03-04";"487000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Mr Gopal Jee Thakur";"NA - Street lights";"Normal/Others";"Bihar";"DARBHANGA";"DISTRICT MAGISTRATE DARBANGA_IDA";"Benipur";"Benipur (M) - Ward No. 10";"";"";"2024-03-04";"487000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Mr Gopal Jee Thakur";"NA - Street lights";"Normal/Others";"Bihar";"DARBHANGA";"DISTRICT MAGISTRATE DARBANGA_IDA";"Benipur";"Benipur (M) - Ward No. 07";"";"";"2024-03-04";"487000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Manoj Rajoria";"NA - Construction of community centers and community halls";"Normal/Others";"Rajasthan";"KARAULI-DHOLPUR(SC)";"DISTRICT COLLECTOR DHOLPUR_IDA";"";"";"Mania";"Marha Bhau";"2024-03-04";"600000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Manoj Rajoria";"NA - Construction of community centers and community halls";"Normal/Others";"Rajasthan";"KARAULI-DHOLPUR(SC)";"DISTRICT COLLECTOR DHOLPUR_IDA";"";"";"Sepau";"Sakhwara";"2024-03-04";"700000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Shri Bhartruhari Mahtab ";"NA - Construction of buildings for community cultural activities";"Normal/Others";"Odisha";"CUTTACK";"DISTRICT COLLECTOR CUTTACK_IDA";"";"";"Cuttack Sadar";"Kalapada";"2024-03-03";"500000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Shivkumar Chanabasappa Udasi";"NA - Construction of additional rooms and halls in the existing public and community building";"Normal/Others";"Karnataka";"HAVERI";"DEPUTY COMMISSIONER HAVERI_IDA";"";"";"Haveri";"Venkatapur";"2024-03-03";"500000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Shri Abdul Khaleque ";"NA - Construction of roads, link roads, pathways or any other road with or without drainage system";"Normal/Others";"Assam";"BARPETA";"DEPUTY COMMISSIONER BARPETA_IDA";"";"";"Barpeta";"Hajipara";"2024-03-03";"300000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Shri Abdul Khaleque ";"NA - Construction of roads, link roads, pathways or any other road with or without drainage system";"Normal/Others";"Assam";"BARPETA";"DEPUTY COMMISSIONER BARPETA_IDA";"";"";"Kalgachia";"Pachim Moinbari";"2024-03-03";"500000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Gaddam Ranjith Reddy";"NA - Lighting of public spaces";"Normal/Others";"Telangana";"CHELVELLA";"DISTRICT COLLECTOR VIKARABAD_IDA";"";"";"Basheerabad";"Neelapalle";"2024-03-03";"170000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Gaddam Ranjith Reddy";"NA - Lighting of public spaces";"Normal/Others";"Telangana";"CHELVELLA";"DISTRICT COLLECTOR VIKARABAD_IDA";"";"";"Basheerabad";"Navalga";"2024-03-03";"170000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Gaddam Ranjith Reddy";"NA - Lighting of public spaces";"Normal/Others";"Telangana";"CHELVELLA";"DISTRICT COLLECTOR VIKARABAD_IDA";"";"";"Basheerabad";"Navandgi (Ct)";"2024-03-03";"510000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Gaddam Ranjith Reddy";"NA - Lighting of public spaces";"Normal/Others";"Telangana";"CHELVELLA";"DISTRICT COLLECTOR VIKARABAD_IDA";"";"";"Basheerabad";"Jalalpur";"2024-03-03";"510000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Dr Sukanta Majumdar ";"NA - Street lights";"Normal/Others";"West Bengal";"BALURGHAT";"DISTRICT MAGISTRATE DINAJPUR DAKSHIN_IDA";"Balurghat";"Baidyanathpara (OG) - Ward No.25";"";"";"2024-03-03";"35000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Shri Bhartruhari Mahtab ";"NA - Construction of buildings for community cultural activities";"Normal/Others";"Odisha";"CUTTACK";"DISTRICT COLLECTOR CUTTACK_IDA";"";"";"Kishannagar";"Bankol";"2024-03-03";"200000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Shri Bhartruhari Mahtab ";"NA - Construction of roads, link roads, pathways or any other road with or without drainage system";"Normal/Others";"Odisha";"CUTTACK";"DISTRICT COLLECTOR CUTTACK_IDA";"";"";"Kishannagar";"Hulipur";"2024-03-03";"250000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Shri Bhartruhari Mahtab ";"NA - Construction of buildings for community cultural activities";"Normal/Others";"Odisha";"CUTTACK";"DISTRICT COLLECTOR CUTTACK_IDA";"";"";"Kandarpur";"Nimeisapur";"2024-03-03";"300000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Shri Bhartruhari Mahtab ";"NA - Construction of buildings for community cultural activities";"Normal/Others";"Odisha";"CUTTACK";"DISTRICT COLLECTOR CUTTACK_IDA";"";"";"Kishannagar";"Bankol";"2024-03-03";"120000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Shri Bhartruhari Mahtab ";"NA - Lighting of public spaces";"Normal/Others";"Odisha";"CUTTACK";"DISTRICT COLLECTOR CUTTACK_IDA";"";"";"Kishannagar";"Radhanagar";"2024-03-03";"100000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Shri Bhartruhari Mahtab ";"NA - Construction of buildings for community cultural activities";"Normal/Others";"Odisha";"CUTTACK";"DISTRICT COLLECTOR CUTTACK_IDA";"";"";"Badamba";"Maniabandha";"2024-03-03";"300000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Shri Mahesh Sahoo ";"NA - Construction of boundary walls of existing public and community buildings";"Normal/Others";"Odisha";"DHENKANAL";"DISTRICT COLLECTORANGUL_IDA";"";"";"Palalahada";"Chasagurujanga";"2024-03-03";"300000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Shri Mahesh Sahoo ";"NA - Construction of boundary walls of existing public and community buildings";"Normal/Others";"Odisha";"DHENKANAL";"DISTRICT COLLECTORANGUL_IDA";"";"";"Palalahada";"Chasagurujanga";"2024-03-03";"500000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Shri Mahesh Sahoo ";"NA - Construction of New Building";"Normal/Others";"Odisha";"DHENKANAL";"DISTRICT COLLECTORANGUL_IDA";"";"";"Khamar";"Khamar";"2024-03-03";"500000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Shri Mahesh Sahoo ";"NA - Construction of roads, link roads, pathways or any other road with or without drainage system";"Normal/Others";"Odisha";"DHENKANAL";"DISTRICT COLLECTORANGUL_IDA";"";"";"Khamar";"Khemala";"2024-03-03";"300000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Shri Mahesh Sahoo ";"NA - Construction of boundary walls of existing public and community buildings";"Normal/Others";"Odisha";"DHENKANAL";"DISTRICT COLLECTORANGUL_IDA";"";"";"Khamar";"Sankhamur";"2024-03-03";"300000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Shri Mahesh Sahoo ";"NA - Construction of community centers and community halls";"Normal/Others";"Odisha";"DHENKANAL";"DISTRICT COLLECTORANGUL_IDA";"";"";"Palalahada";"Pabitrapur";"2024-03-03";"400000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Shri Mahesh Sahoo ";"NA - Construction of community centers and community halls";"Normal/Others";"Odisha";"DHENKANAL";"DISTRICT COLLECTORANGUL_IDA";"";"";"Palalahada";"Batisuan";"2024-03-03";"400000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Rahul Kaswan";"NA - Construction of rooms and halls in school and colleges";"Normal/Others";"Rajasthan";"CHURU";"DISTRICT COLLECTOR CHURU_IDA";"";"";"Bhanipura";"Sawar";"2024-03-03";"850000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Rahul Kaswan";"NA - Construction of additional rooms and halls in the existing public and community building";"Normal/Others";"Rajasthan";"CHURU";"DISTRICT COLLECTOR CHURU_IDA";"";"";"Bhanipura";"Rajasar Panwaran";"2024-03-03";"650000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Shri Bhartruhari Mahtab ";"NA - Construction of buildings for community cultural activities";"Normal/Others";"Odisha";"CUTTACK";"DISTRICT COLLECTOR CUTTACK_IDA";"";"";"Kandarpur";"Gatiroutpatana (Part) Dihasahi";"2024-03-03";"500000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Shivkumar Chanabasappa Udasi";"NA - Construction of bus-sheds or bus-stops";"Normal/Others";"Karnataka";"HAVERI";"DEPUTY COMMISSIONER HAVERI_IDA";"";"";"Haveri";"Devagiri";"2024-03-03";"500000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Dr Sukanta Majumdar ";"NA - Street lights";"Normal/Others";"West Bengal";"BALURGHAT";"DISTRICT MAGISTRATE DINAJPUR DAKSHIN_IDA";"Balurghat";"Baidyanathpara (OG) - Ward No.25";"";"";"2024-03-03";"35000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Dr Sukanta Majumdar ";"NA - Street lights";"Normal/Others";"West Bengal";"BALURGHAT";"DISTRICT MAGISTRATE DINAJPUR DAKSHIN_IDA";"Balurghat";"Baidyanathpara (OG) - Ward No.25";"";"";"2024-03-03";"35000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Dr Sukanta Majumdar ";"NA - Street lights";"Normal/Others";"West Bengal";"BALURGHAT";"DISTRICT MAGISTRATE DINAJPUR DAKSHIN_IDA";"Balurghat";"Baidyanathpara (OG) - Ward No.25";"";"";"2024-03-03";"35000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Shri Dilip Ghosh ";"NA - Construction of rooms and halls in school and colleges";"Normal/Others";"West Bengal";"MEDINIPUR";"DISTRICT MAGISTRATE PASCHIM MEDINIPUR_IDA";"Medinipur";"Medinipur (M) - Ward No.9";"";"";"2024-03-03";"1800000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Shri Dilip Ghosh ";"NA - Construction of rooms and halls in school and colleges";"Normal/Others";"West Bengal";"MEDINIPUR";"DISTRICT MAGISTRATE PASCHIM MEDINIPUR_IDA";"Kharagpur";"Kharagpur (M) - Ward No.23";"";"";"2024-03-03";"952002";"Action Pending";"Unsanctioned";"Lok Sabha"
"Shivkumar Chanabasappa Udasi";"NA - Construction of roads, link roads, pathways or any other road with or without drainage system";"Normal/Others";"Karnataka";"HAVERI";"DEPUTY COMMISSIONER HAVERI_IDA";"";"";"Haveri";"Karjagi";"2024-03-03";"150000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Adhir Ranjan Chowdhury ";"NA - Installing community drinking water plants";"Normal/Others";"West Bengal";"BAHARAMPUR";"DISTRICT MAGISTRATE MURSHIDABAD_IDA";"Berhampore";"Baharampur (M) - Ward No.22";"";"";"2024-03-03";"1085000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Shivkumar Chanabasappa Udasi";"NA - Construction of additional rooms and halls in the existing public and community building";"Normal/Others";"Karnataka";"HAVERI";"DEPUTY COMMISSIONER HAVERI_IDA";"";"";"Savanur";"Hiremugadur";"2024-03-03";"500000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Shivkumar Chanabasappa Udasi";"NA - Crematoriums or structures on burial/ cremation ground for public convenience";"Normal/Others";"Karnataka";"HAVERI";"DEPUTY COMMISSIONER HAVERI_IDA";"Hirekerur";"Hirekerur (TP) - Ward No.7";"";"";"2024-03-03";"200000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Shri Mahesh Sahoo ";"NA - Construction of boundary walls of existing public and community buildings";"Normal/Others";"Odisha";"DHENKANAL";"DISTRICT COLLECTORANGUL_IDA";"";"";"Khamar";"Raghunathpur";"2024-03-03";"500000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Shivkumar Chanabasappa Udasi";"NA - Construction of roads, link roads, pathways or any other road with or without drainage system";"Normal/Others";"Karnataka";"HAVERI";"DEPUTY COMMISSIONER HAVERI_IDA";"Haveri";"Haveri (Cmc) - Ward No.1";"";"";"2024-03-03";"500000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Rahul Kaswan";"NA - Improvement of electricity distribution infrastructure";"Normal/Others";"Rajasthan";"CHURU";"DISTRICT COLLECTOR CHURU_IDA";"";"";"Churu";"Gajsar";"2024-03-03";"185000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Shivkumar Chanabasappa Udasi";"NA - Construction of bus-sheds or bus-stops";"Normal/Others";"Karnataka";"HAVERI";"DEPUTY COMMISSIONER HAVERI_IDA";"";"";"Haveri";"Devagiri Yellapur";"2024-03-03";"500000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Shivkumar Chanabasappa Udasi";"NA - Construction of bus-sheds or bus-stops";"Normal/Others";"Karnataka";"HAVERI";"DEPUTY COMMISSIONER HAVERI_IDA";"";"";"Haveri";"Devagiri";"2024-03-03";"500000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Gaddam Ranjith Reddy";"NA - Lighting of public spaces";"Normal/Others";"Telangana";"CHELVELLA";"DISTRICT COLLECTOR VIKARABAD_IDA";"";"";"Yelal";"Bennur";"2024-03-03";"170000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Rahul Kaswan";"NA - Construction of additional rooms and halls in the existing public and community building";"Normal/Others";"Rajasthan";"CHURU";"DISTRICT COLLECTOR CHURU_IDA";"";"";"Taranagar";"Buchawas";"2024-03-03";"650000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Dr Sukanta Majumdar ";"NA - Street lights";"Normal/Others";"West Bengal";"BALURGHAT";"DISTRICT MAGISTRATE DINAJPUR DAKSHIN_IDA";"Balurghat";"Baidyanathpara (OG) - Ward No.25";"";"";"2024-03-03";"35000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Rahul Kaswan";"NA - Construction of additional rooms and halls in the existing public and community building";"Normal/Others";"Rajasthan";"CHURU";"DISTRICT COLLECTOR CHURU_IDA";"";"";"Sardarshahar";"Patlisar Purohitan";"2024-03-03";"650000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Rahul Kaswan";"NA - Construction of boundary walls of existing public and community buildings";"Normal/Others";"Rajasthan";"CHURU";"DISTRICT COLLECTOR CHURU_IDA";"";"";"Ratangarh";"Parihara";"2024-03-03";"1000000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Shivkumar Chanabasappa Udasi";"NA - Construction of rooms and halls in school and colleges";"Normal/Others";"Karnataka";"HAVERI";"DEPUTY COMMISSIONER HAVERI_IDA";"";"";"Haveri";"Kallihal";"2024-03-03";"500000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Shri Mahesh Sahoo ";"NA - Construction of boundary walls of existing public and community buildings";"Normal/Others";"Odisha";"DHENKANAL";"DISTRICT COLLECTORANGUL_IDA";"";"";"Khamar";"Sankhamur";"2024-03-03";"400000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Shri Mahesh Sahoo ";"NA - Construction of roads, link roads, pathways or any other road with or without drainage system";"Normal/Others";"Odisha";"DHENKANAL";"DISTRICT COLLECTORANGUL_IDA";"";"";"Palalahada";"Pechamundi";"2024-03-03";"300000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Gaddam Ranjith Reddy";"NA - Construction of roads, link roads, pathways or any other road with or without drainage system";"Normal/Others";"Telangana";"CHELVELLA";"DISTRICT COLLECTOR RANGAREDDY_IDA";"";"";"Chevella";"Mudimyal";"2024-03-03";"500000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Smt Ranjeeta Koli";"NA - Construction of roads, link roads, pathways or any other road with or without drainage system";"Normal/Others";"Rajasthan";"BHARATPUR(SC)";"DISTRICT COLLECTOR BHARATPUR_IDA";"";"";"Bharatpur";"Garhi Zalimsingh";"2024-03-03";"400000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Rahul Kaswan";"NA - Improvement of electricity distribution infrastructure";"Normal/Others";"Rajasthan";"CHURU";"DISTRICT COLLECTOR CHURU_IDA";"";"";"Ratangarh";"Menasar";"2024-03-03";"200000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Rahul Kaswan";"NA - Construction of rooms and halls in school and colleges";"Normal/Others";"Rajasthan";"CHURU";"DISTRICT COLLECTOR CHURU_IDA";"";"";"Ratangarh";"Chainpura";"2024-03-03";"850000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Rahul Kaswan";"NA - Development of playfields and sports grounds";"Normal/Others";"Rajasthan";"CHURU";"DISTRICT COLLECTOR CHURU_IDA";"";"";"Ratangarh";"Gogasar";"2024-03-03";"500000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Smt Ranjeeta Koli";"NA - Construction of roads, link roads, pathways or any other road with or without drainage system";"Normal/Others";"Rajasthan";"BHARATPUR(SC)";"DISTRICT COLLECTOR ALWAR_IDA";"";"";"Kathumar";"Titpuri";"2024-03-03";"700000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Smt Ranjeeta Koli";"NA - Construction of roads, link roads, pathways or any other road with or without drainage system";"Normal/Others";"Rajasthan";"BHARATPUR(SC)";"DISTRICT COLLECTOR ALWAR_IDA";"";"";"Kathumar";"Maithna";"2024-03-03";"400000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Smt Ranjeeta Koli";"NA - Construction of roads, link roads, pathways or any other road with or without drainage system";"Normal/Others";"Rajasthan";"BHARATPUR(SC)";"DISTRICT COLLECTOR ALWAR_IDA";"";"";"Kathumar";"Pisai";"2024-03-03";"600000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Smt Ranjeeta Koli";"NA - Crematoriums or structures on burial/ cremation ground for public convenience";"Normal/Others";"Rajasthan";"BHARATPUR(SC)";"DISTRICT COLLECTOR BHARATPUR_IDA";"";"";"Nadbai";"Gadauli";"2024-03-03";"300000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Smt Ranjeeta Koli";"NA - Construction of roads, link roads, pathways or any other road with or without drainage system";"Normal/Others";"Rajasthan";"BHARATPUR(SC)";"DISTRICT COLLECTOR BHARATPUR_IDA";"";"";"Nadbai";"Gadauli";"2024-03-03";"500000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Rahul Kaswan";"NA - Improvement of electricity distribution infrastructure";"Normal/Others";"Rajasthan";"CHURU";"DISTRICT COLLECTOR CHURU_IDA";"";"";"Rajgarh";"Bas Mundi";"2024-03-03";"488000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Sukhbir Singh Jaunapuria";"NA - Construction of roads, link roads, pathways or any other road with or without drainage system";"Normal/Others";"Rajasthan";"TONK-SAWAI MADHOPUR";"DISTRICT COLLECTOR SAWAI MADHOPUR_IDA";"";"";"Sawai Madhopur";"Rawanjna Chaur";"2024-03-03";"250000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Sukhbir Singh Jaunapuria";"NA - Construction of community centers and community halls";"Normal/Others";"Rajasthan";"TONK-SAWAI MADHOPUR";"DISTRICT COLLECTOR TONK_IDA";"";"";"Peeplu";"Janwali";"2024-03-03";"500000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Devji Mansingram Patel";"NA - Purchase of other aids / devices required for P/ M/ V/ H impaired for differently abled persons";"Normal/Others";"Rajasthan";"JALORE";"DISTRICT COLLECTOR Sanchor_IDA";"";"";"Sanchore";"Kilawa";"2024-03-03";"110000";"Action Pending";"Unsanctioned";"Lok Sabha"
